cue;frequency;classification
bureaucrat;1;general
artillerist;1;general
beatboxer;1;entertainment
literary editor;1;entertainment
existentialist;1;general
conscript soldier;1;general
stained-glass artist;1;entertainment
classical archaeologist;1;general
deacon;1;general
tax collector;1;general
quarryman;1;general
grocer;1;general
obstetrician;1;general
voice teacher;1;entertainment
goldsmith;1;general
newspaper proprietor;1;general
hydrologist;1;general
tea dealer;1;general
romanist;1;general
graphics;1;general
hosier;1;general
emperor;1;general
arabist;1;general
caregiver;1;general
driving instructor;1;general
watchmaker;1;general
coal miner;1;general
sailmaker;1;general
torturer;1;general
federal judge;1;general
character animator;1;general
prime minister of pakistan;1;general
go professional;1;general
cultural historian;1;general
jockey;1;sport
horse trainer;1;sport
pupil;1;general
child;1;general
lover;1;general
ethnobotanist;1;general
assistant;1;general
helper;1;general
ninja;1;general
bladesmith;1;general
